epoch,train_loss,val_loss,val_acc
1,1.248126369714737,1.1341889381408692,0.5315196337383342
2,1.0972206979990005,1.0631035327911378,0.566296883254094
3,1.0044473379850387,1.0364117264747619,0.5833773551681634
4,0.9280910700559616,0.8524367570877075,0.6642894875858426
5,0.8370766192674637,0.7161183953285217,0.7093678464518401
6,0.8142228931188583,0.6913356304168701,0.715706990667371
7,0.7319600284099579,0.6249451637268066,0.735516816340905
8,0.6401850715279579,0.562778651714325,0.7770734284204965
9,0.6466421723365784,0.556204104423523,0.777337559429477
10,0.5947941318154335,0.47487354278564453,0.8125550272935376
11,0.559572483599186,0.4954543888568878,0.8069202324352879
12,0.5345776855945588,0.4743015766143799,0.8166050360979046
13,0.5358683988451958,0.4564427673816681,0.8326289839760521
14,0.5196080297231674,0.48077517151832583,0.8163409050889241
15,0.4958397030830383,0.4290177583694458,0.837735516816341
16,0.47599257379770277,0.43592458963394165,0.8394963902095439
17,0.48399370163679123,0.43907135128974917,0.8275224511357634
18,0.4767159104347229,0.44862294793128965,0.8294594118682866
19,0.4637997955083847,0.4362597942352295,0.8439866173622117
20,0.44957125633955003,0.4090318322181702,0.8449550977284733
21,0.44292011857032776,0.42421661615371703,0.837823560486001
22,0.4450919657945633,0.44160325527191163,0.8277865821447438
23,0.4232937052845955,0.43798949718475344,0.8214474379292129
24,0.42896080762147903,0.4785241186618805,0.8055115337207255
25,0.42656327337026595,0.4334420144557953,0.8229441803134354
26,0.4223339095711708,0.43127853870391847,0.823824617010037
27,0.4070872128009796,0.4006318747997284,0.8512061982743441
28,0.4473734527826309,0.41166563630104064,0.83139637260081
29,0.43144070357084274,0.4055688440799713,0.8384398661736221
30,0.40954400449991224,0.41646790504455566,0.8365909491107589
31,0.39308706521987913,0.4187680780887604,0.8368550801197394
32,0.38318594098091124,0.38515576124191286,0.8531431590068674
33,0.3744042441248894,0.42967121601104735,0.8268181017784821
34,0.3821640595793724,0.40055420994758606,0.837823560486001
35,0.4047840341925621,0.445529443025589,0.8172213417855256
36,0.41048496812582014,0.464267635345459,0.8127311146328579
37,0.39419612661004066,0.4698113679885864,0.8132593766508188
38,0.39859051555395125,0.4271819770336151,0.8339496390209544
